,0,1,2,3,4,5
291,360.0,360.0,360.0,360.0,360.0,360.0
292,360.0,360.0,360.0,360.0,360.0,360.0
293,360.0,360.0,360.0,360.0,360.0,360.0
294,360.0,360.0,360.0,360.0,360.0,360.0
295,360.0,360.0,360.0,360.0,360.0,360.0
296,360.0,360.0,360.0,360.0,360.0,360.0
297,360.0,360.0,360.0,360.0,360.0,360.0
298,360.0,360.0,360.0,360.0,360.0,360.0
299,360.0,360.0,360.0,360.0,360.0,360.0
300,360.0,360.0,360.0,360.0,360.0,360.0
301,360.0,360.0,360.0,360.0,360.0,360.0
302,360.0,360.0,360.0,360.0,360.0,360.0
303,360.0,360.0,360.0,360.0,360.0,360.0
304,360.0,360.0,360.0,360.0,360.0,360.0
305,360.0,360.0,360.0,360.0,360.0,360.0
306,360.0,360.0,360.0,360.0,360.0,360.0
307,360.0,360.0,360.0,360.0,360.0,360.0
308,360.0,360.0,360.0,360.0,360.0,360.0
309,360.0,360.0,360.0,360.0,360.0,360.0
310,360.0,360.0,360.0,360.0,360.0,360.0
311,360.0,360.0,360.0,360.0,360.0,360.0
312,360.0,360.0,360.0,360.0,360.0,360.0
313,360.0,360.0,360.0,360.0,360.0,360.0
314,360.0,360.0,360.0,360.0,360.0,360.0
315,360.0,360.0,360.0,360.0,360.0,360.0
316,360.0,360.0,360.0,360.0,360.0,360.0
317,360.0,360.0,360.0,360.0,360.0,360.0
318,360.0,360.0,360.0,360.0,360.0,360.0
319,360.0,360.0,360.0,360.0,360.0,360.0
320,360.0,360.0,360.0,360.0,360.0,360.0
321,360.0,360.0,360.0,360.0,360.0,360.0
322,360.0,360.0,360.0,360.0,360.0,360.0
323,360.0,360.0,360.0,360.0,360.0,360.0
324,360.0,360.0,360.0,360.0,360.0,360.0
325,360.0,360.0,360.0,360.0,360.0,360.0
326,360.0,360.0,360.0,360.0,360.0,360.0
327,360.0,360.0,360.0,360.0,360.0,360.0
328,360.0,360.0,360.0,360.0,360.0,360.0
329,360.0,360.0,360.0,360.0,360.0,360.0
330,360.0,360.0,360.0,360.0,360.0,360.0
331,360.0,360.0,360.0,360.0,360.0,360.0
332,360.0,360.0,360.0,360.0,360.0,360.0
333,360.0,360.0,360.0,360.0,360.0,360.0
334,360.0,360.0,360.0,360.0,360.0,360.0
335,360.0,360.0,360.0,360.0,360.0,360.0
336,360.0,360.0,360.0,360.0,360.0,360.0
337,360.0,360.0,360.0,360.0,360.0,360.0
338,360.0,360.0,360.0,360.0,360.0,360.0
339,360.0,360.0,360.0,360.0,360.0,360.0
340,360.0,360.0,360.0,360.0,360.0,360.0
341,360.0,360.0,360.0,360.0,360.0,360.0
342,360.0,360.0,360.0,360.0,360.0,360.0
343,360.0,360.0,360.0,360.0,360.0,360.0
344,360.0,360.0,360.0,360.0,360.0,360.0
345,360.0,360.0,360.0,360.0,360.0,360.0
346,360.0,360.0,360.0,360.0,360.0,360.0
347,360.0,360.0,360.0,360.0,360.0,360.0
348,360.0,360.0,360.0,360.0,360.0,360.0
349,360.0,360.0,360.0,360.0,360.0,360.0
350,360.0,360.0,360.0,360.0,360.0,360.0
351,360.0,360.0,360.0,360.0,360.0,360.0
352,360.0,360.0,360.0,360.0,360.0,360.0
353,360.0,360.0,360.0,360.0,360.0,360.0
354,360.0,360.0,360.0,360.0,360.0,360.0
355,360.0,360.0,360.0,360.0,360.0,360.0
356,360.0,360.0,360.0,360.0,360.0,360.0
357,360.0,360.0,360.0,360.0,360.0,360.0
358,360.0,360.0,360.0,360.0,360.0,360.0
359,360.0,360.0,360.0,360.0,360.0,360.0
